,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,company
0,1,Hyundai Creta 1.6,Pune,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5.0,12.5,Hyundai
1,2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,13,1199,88.7,5.0,4.5,Honda
2,3,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7.0,6.0,Maruti
3,4,Audi A4 New,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5.0,17.74,Audi
4,6,Nissan Micra Diesel,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5.0,3.5,Nissan
5,7,Toyota Innova Crysta,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8.0,17.5,Toyota
6,8,Volkswagen Vento Diesel,Pune,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5.0,5.2,Volkswagen
7,9,Tata Indica Vista,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,74,5.0,1.95,Tata
8,10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5.0,9.95,Maruti
9,11,Honda City 1.5,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5.0,4.49,Honda
10,12,Maruti Swift VDI,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,74,5.0,5.6,Maruti
11,13,Land Rover Range,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5.0,27.0,Land
12,14,Land Rover Freelander,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179,115,5.0,17.5,Land
13,15,Mitsubishi Pajero Sport,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7.0,15.0,Mitsubishi
14,16,Honda Amaze S,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5.0,5.4,Honda
15,17,Maruti Swift DDiS,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,74,5.0,5.99,Maruti
16,18,Renault Duster 85PS,Kochi,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5.0,6.34,Renault
17,19,Mercedes-Benz New C-Class,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5.0,28.0,Mercedes-Benz
18,20,BMW 3 Series,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190,5.0,18.55,BMW
19,21,Maruti S Cross,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5.0,8.25,Maruti
20,22,Audi A6 2011-2015,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5.0,23.5,Audi
21,23,Hyundai i20 1.2,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,80,5.0,1.87,Hyundai
22,24,Volkswagen Vento Petrol,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5.0,2.85,Volkswagen
23,25,Honda City Corporate,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5.0,4.25,Honda
24,26,Nissan Micra Diesel,Hyderabad,2012,54000,Diesel,Manual,First,16.48,1461,63.1,5.0,4.25,Nissan
25,27,Maruti Alto K10,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5.0,2.75,Maruti
